5p+ Fv/m Test
Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o
   1, 8/10, 9:14,  50,R,   4,  75,0.8,Off,  50,   5, 249, 881, 632,0.717,2.538
   2, 8/10, 9:14,  50,R,   4,  75,0.8,Off,  50,   5, 233, 726, 493,0.679,2.115
   3, 8/10, 9:15,  50,R,   4,  75,0.8,Off,  50,   5, 289, 741, 452,0.609,1.564
5p+ Fv/m Test
Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o
   1, 8/10, 9:24,  50,R,   4,  75,0.8,Off,  50,   5, 258, 966, 708,0.732,2.744
   2, 8/10, 9:25,  50,R,   4,  75,0.8,Off,  50,   5, 326, 969, 643,0.663,1.972
   3, 8/10, 9:26,  50,R,   4,  75,0.8,Off,  50,   5, 444,1153, 709,0.614,1.596
