Sample..,Date,Kq,F.,Fm.,Y.II.,ETR,PAR,Leaf_Temperature,Time_day,Mod.Int,Mod.Wl,Det.Gain,Sat.Flash.Int,Sat.PW,Far.Red.Mode,Far.Red.Int,Far.Red.Dur,Fo,Fm,Fv,Fv.m,Fv.o,NPQ
3,2023-08-30,0.84,258,542,0.523,9.2,42,21.4,13:00:00,50,R,4,75,0.8,Off,50,5,254,998,744,0.745,2.929,0.841328413
4,2023-08-30,0.84,237,477,0.503,9,43,22.1,13:00:00,50,R,4,75,0.8,Off,50,5,231,920,689,0.748,2.982,0.928721174
5,2023-08-30,0.84,212,345,0.385,12.4,77,22,13:00:00,50,R,4,75,0.8,Off,50,5,278,638,360,0.564,1.294,0.849275362
6,2023-08-30,0.84,203,429,0.526,10.1,46,22.2,13:00:00,50,R,4,75,0.8,Off,50,5,214,737,523,0.709,2.443,0.717948718
8,2023-08-30,0.84,214,433,0.505,11.4,54,22.2,13:00:00,50,R,4,75,0.8,Off,50,5,246,891,645,0.723,2.621,1.057736721
9,2023-08-30,0.84,205,465,0.559,6.3,27,22.2,13:00:00,50,R,4,75,0.8,Off,50,5,244,847,603,0.711,2.471,0.821505376
1,2023-08-30,0.84,205,425,0.517,2.8,13,20.2,17:00:00,50,R,4,75,0.8,Off,50,5,279,738,459,0.621,1.645,0.736470588
2,2023-08-30,0.84,243,615,0.604,2.5,10,20.6,17:00:00,50,R,4,75,0.8,Off,50,5,229,717,488,0.68,2.131,0.165853659
3,2023-08-30,0.84,210,577,0.636,2.9,11,20.8,17:00:00,50,R,4,75,0.8,Off,50,5,254,998,744,0.745,2.929,0.729636049
4,2023-08-30,0.84,218,549,0.602,2.7,11,21,17:00:00,50,R,4,75,0.8,Off,50,5,231,920,689,0.748,2.982,0.675774135
1,2023-08-30,0.84,208,488,0.573,2.1,9,20.4,17:00:00,50,R,4,75,0.8,Off,50,5,278,638,360,0.564,1.294,0.307377049
2,2023-08-30,0.84,217,284,0.235,19.6,199,21,17:00:00,50,R,4,75,0.8,Off,50,5,214,737,523,0.709,2.443,1.595070423
3,2023-08-30,0.84,196,467,0.58,6.3,26,21.7,17:00:00,50,R,4,75,0.8,Off,50,5,246,891,645,0.723,2.621,0.907922912
4,2023-08-30,0.84,191,437,0.562,5.1,22,22.3,17:00:00,50,R,4,75,0.8,Off,50,5,244,847,603,0.711,2.471,0.938215103
